internal_transfer_id,operation_type,transfer_reference,scheduled_date,effective_date,created_date,updated_date,back_order,source_document,transfer_state,source_location,destination_location,transfer_amount
4492,Pick Components,WH/PC/00847,2021-04-15 06:01:09.000000,2021-04-15 23:37:58.000000,2021-04-15 06:02:31.284483,2021-04-15 23:37:56.276417,,MO/03768,done,WH/Stock,WH/WIP,
4437,Receipts,WH/IN/06521,2021-04-12 02:40:42.000000,2021-04-16 05:48:07.000000,2021-04-13 00:41:43.830354,2021-04-16 05:48:07.210965,,PO05111,done,Partner Locations/Vendors,WH/Input,
4536,Pick Components,WH/PC/00861,2021-04-19 01:05:30.000000,2021-04-19 01:23:46.000000,2021-04-19 01:05:55.808119,2021-04-19 01:23:45.968213,,MO/03781,done,WH/Stock,WH/WIP,
4470,Receipts,WH/IN/06536,2021-04-28 02:44:37.000000,2021-04-19 04:02:24.000000,2021-04-14 03:27:25.117408,2021-04-19 04:02:24.725599,,PO05124,done,Partner Locations/Vendors,WH/Input,
3858,Receipts,WH/IN/06271,2021-03-12 02:48:45.000000,2021-03-09 23:17:19.000000,2021-03-08 01:45:00.075304,2021-03-09 23:17:19.402651,,PO04945,done,Partner Locations/Vendors,WH/Input,
3859,Receipts,WH/IN/06272,2021-03-08 02:55:14.000000,2021-03-10 00:20:44.000000,2021-03-08 01:45:12.841465,2021-03-10 00:20:44.596015,,PO04946,done,Partner Locations/Vendors,WH/Input,
4543,Goods Inwards Inspection,WH/GI/594,2021-03-12 08:37:18.000000,2021-04-22 04:14:17.000000,2021-04-19 04:29:02.964172,2021-04-22 04:14:07.469230,WH/GI/498,PO04778,done,WH/Input,WH/Stock,
4013,Receipts,WH/IN/06349,2021-04-06 05:18:39.000000,2021-04-06 04:20:55.000000,2021-03-16 22:37:46.255422,2021-04-06 04:20:53.188334,,PO05000,done,Partner Locations/Vendors,WH/Input,1300.0
4469,Receipts,WH/IN/06535,2021-04-28 02:31:43.000000,2021-04-23 04:31:31.000000,2021-04-14 03:26:20.153985,2021-04-23 04:31:31.053235,,PO05122,done,Partner Locations/Vendors,WH/Input,
3968,Receipts,WH/IN/06328,2021-03-21 22:45:12.000000,2021-03-18 22:56:19.000000,2021-03-14 22:55:36.316791,2021-03-18 22:56:19.183220,,PO04993,done,Partner Locations/Vendors,WH/Input,
