serial_num,bom_prod_id,bom_ref,bom_id,active,bom_line_id,product_id,product_qty,default_code
1007684-003,7684,PDM004 - GA,1076,True,26947.0,8870.0,2.0,1008873-001
1007684-003,7684,PDM004 - GA,1076,True,27034.0,8615.0,1.0,1007716-004
1007684-003,7684,PDM004 - GA,1076,True,27066.0,8162.0,1.0,1007743-004
1007684-003,7684,PDM004 - GA,1076,True,27149.0,8966.0,1.0,1007687-006
1007684-003,7684,PDM004 - GA,1076,True,27374.0,8990.0,1.0,1007719-005
1007684-003,7684,PDM004 - GA,1076,True,27375.0,8991.0,1.0,1008385-003
1007684-003,7684,PDM004 - GA,1076,True,27760.0,8967.0,1.0,1007727-005
1008206-001,8206,PDM001 - Active,1078,True,26974.0,3162.0,1.0,1001763-002
1008206-001,8206,PDM001 - Active,1078,True,26975.0,2945.0,1.0,1005844-001
1008206-001,8206,PDM001 - Active,1078,True,26976.0,7618.0,15.0,1007618-001
1008206-001,8206,PDM001 - Active,1078,True,26978.0,8615.0,1.0,1007716-004
1008206-001,8206,PDM001 - Active,1078,True,26979.0,8990.0,1.0,1007719-005
1008206-001,8206,PDM001 - Active,1078,True,26980.0,7726.0,1.0,1007726-001
1009354-002,9506,NPI Rev1 - 20221108 SAS V1.0,1300,True,32161.0,9886.0,4.0,1009889-001
1008206-001,8206,PDM001 - Active,1078,True,26981.0,7742.0,1.0,1007742-001
1008206-001,8206,PDM001 - Active,1078,True,26982.0,8162.0,2.0,1007743-004
1008206-001,8206,PDM001 - Active,1078,True,26983.0,8160.0,1.0,1008160-001
1008206-001,8206,PDM001 - Active,1078,True,26984.0,3069.0,1.0,1000965-002
1008206-001,8206,PDM001 - Active,1078,True,26985.0,7692.0,1.0,1007692-001
1008206-001,8206,PDM001 - Active,1078,True,26986.0,7709.0,2.0,1007709-001
1008206-001,8206,PDM001 - Active,1078,True,26988.0,3182.0,1.0,1001008-001
1008206-001,8206,PDM001 - Active,1078,True,26989.0,3500.0,1.0,1001144-001
1009354-003,9837,PDM - 20221130 SAS V1.1,1329,True,32756.0,8577.0,1.0,1004967-002
1008206-001,8206,PDM001 - Active,1078,True,26990.0,3468.0,1.0,1001552-001
1008206-001,8206,PDM001 - Active,1078,True,26991.0,7288.0,1.0,1007288-001
1008206-001,8206,PDM001 - Active,1078,True,26992.0,8471.0,2.0,1008471-001
1008206-001,8206,PDM001 - Active,1078,True,26993.0,8966.0,1.0,1007687-006
1008206-001,8206,PDM001 - Active,1078,True,26994.0,8967.0,1.0,1007727-005
1008206-001,8206,PDM001 - Active,1078,True,26995.0,8991.0,1.0,1008385-003
1008206-001,8206,PDM001 - Active,1078,True,26996.0,6066.0,1.0,1001269-001
1008206-001,8206,PDM001 - Active,1078,True,26998.0,8869.0,8.0,1008872-001
1008206-001,8206,PDM001 - Active,1078,True,26999.0,8870.0,4.0,1008873-001
1008206-001,8206,PDM001 - Active,1078,True,27000.0,8341.0,2.0,1008341-001
1008206-001,8206,PDM001 - Active,1078,True,27001.0,9071.0,1.0,1007722-002
1008206-001,8206,PDM001 - Active,1078,True,27501.0,8461.0,1.0,1008209-002
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32371.0,9678.0,6.0,1009681-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32372.0,10244.0,5.0,1009997-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32376.0,9679.0,2.0,1009682-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32378.0,9682.0,4.0,1009685-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32379.0,10245.0,4.0,1009998-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32380.0,10246.0,5.0,1009999-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32381.0,9683.0,5.0,1009686-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32382.0,9684.0,2.0,1009687-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32383.0,10248.0,2.0,1010001-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32384.0,9686.0,4.0,1009689-001
1009431-001,9431,PDM - 20221103 complete BoM NOT for PO,1314,True,32386.0,10354.0,2.0,1010357-001
